./scripts/with-fastdds.sh bash -c 'cd interop/fastdds/shapes && ./shapes_sub 45'
[shapes_sub] matched change: 1 total: 1
[shapes_sub] 1: color=ORANGE x=53 y=52 size=30
[shapes_sub] 2: color=ORANGE x=56 y=54 size=30
[shapes_sub] 3: color=ORANGE x=59 y=56 size=30
[shapes_sub] 4: color=ORANGE x=62 y=58 size=30
[shapes_sub] 5: color=ORANGE x=65 y=60 size=30
[shapes_sub] 6: color=ORANGE x=68 y=62 size=30
[shapes_sub] 7: color=ORANGE x=71 y=64 size=30
[shapes_sub] 8: color=ORANGE x=74 y=66 size=30
[shapes_sub] 9: color=ORANGE x=77 y=68 size=30
[shapes_sub] 10: color=ORANGE x=80 y=70 size=30
[shapes_sub] 11: color=ORANGE x=83 y=72 size=30
[shapes_sub] 12: color=ORANGE x=86 y=74 size=30
[shapes_sub] 13: color=ORANGE x=89 y=76 size=30
[shapes_sub] 14: color=ORANGE x=92 y=78 size=30
[shapes_sub] 15: color=ORANGE x=95 y=80 size=30
[shapes_sub] 16: color=ORANGE x=98 y=82 size=30
[shapes_sub] 17: color=ORANGE x=101 y=84 size=30
[shapes_sub] 18: color=ORANGE x=104 y=86 size=30
[shapes_sub] 19: color=ORANGE x=107 y=88 size=30
[shapes_sub] 20: color=ORANGE x=110 y=90 size=30
[shapes_sub] 21: color=ORANGE x=113 y=92 size=30
[shapes_sub] 22: color=ORANGE x=116 y=94 size=30
[shapes_sub] 23: color=ORANGE x=119 y=96 size=30
[shapes_sub] 24: color=ORANGE x=122 y=98 size=30
[shapes_sub] 25: color=ORANGE x=125 y=100 size=30
[shapes_sub] 26: color=ORANGE x=128 y=102 size=30
[shapes_sub] 27: color=ORANGE x=131 y=104 size=30
[shapes_sub] 28: color=ORANGE x=134 y=106 size=30
[shapes_sub] 29: color=ORANGE x=137 y=108 size=30
[shapes_sub] 30: color=ORANGE x=140 y=110 size=30
[shapes_sub] 31: color=ORANGE x=143 y=112 size=30
[shapes_sub] 32: color=ORANGE x=146 y=114 size=30
[shapes_sub] 33: color=ORANGE x=149 y=116 size=30
[shapes_sub] 34: color=ORANGE x=152 y=118 size=30
[shapes_sub] 35: color=ORANGE x=155 y=120 size=30
[shapes_sub] 36: color=ORANGE x=158 y=122 size=30
[shapes_sub] 37: color=ORANGE x=161 y=124 size=30
[shapes_sub] 38: color=ORANGE x=164 y=126 size=30
[shapes_sub] 39: color=ORANGE x=167 y=128 size=30
[shapes_sub] 40: color=ORANGE x=170 y=130 size=30
[shapes_sub] 41: color=ORANGE x=173 y=132 size=30
[shapes_sub] 42: color=ORANGE x=176 y=134 size=30
[shapes_sub] 43: color=ORANGE x=179 y=136 size=30
[shapes_sub] 44: color=ORANGE x=182 y=138 size=30
[shapes_sub] 45: color=ORANGE x=185 y=140 size=30
[shapes_sub] 46: color=ORANGE x=188 y=142 size=30
[shapes_sub] 47: color=ORANGE x=191 y=144 size=30
[shapes_sub] 48: color=ORANGE x=194 y=146 size=30
[shapes_sub] 49: color=ORANGE x=197 y=148 size=30
[shapes_sub] 50: color=ORANGE x=200 y=150 size=30
[shapes_sub] 51: color=ORANGE x=203 y=152 size=30
[shapes_sub] 52: color=ORANGE x=206 y=154 size=30
[shapes_sub] 53: color=ORANGE x=209 y=156 size=30
[shapes_sub] 54: color=ORANGE x=212 y=158 size=30
[shapes_sub] 55: color=ORANGE x=215 y=160 size=30
[shapes_sub] 56: color=ORANGE x=218 y=162 size=30
[shapes_sub] 57: color=ORANGE x=221 y=164 size=30
[shapes_sub] 58: color=ORANGE x=224 y=166 size=30
[shapes_sub] 59: color=ORANGE x=227 y=168 size=30
[shapes_sub] 60: color=ORANGE x=230 y=170 size=30
[shapes_sub] 61: color=ORANGE x=233 y=172 size=30
[shapes_sub] 62: color=ORANGE x=236 y=174 size=30
[shapes_sub] 63: color=ORANGE x=239 y=176 size=30
[shapes_sub] 64: color=ORANGE x=240 y=178 size=30
[shapes_sub] 65: color=ORANGE x=237 y=180 size=30
[shapes_sub] 66: color=ORANGE x=234 y=182 size=30
[shapes_sub] 67: color=ORANGE x=231 y=184 size=30
[shapes_sub] 68: color=ORANGE x=228 y=186 size=30
[shapes_sub] 69: color=ORANGE x=225 y=188 size=30
[shapes_sub] 70: color=ORANGE x=222 y=190 size=30
[shapes_sub] 71: color=ORANGE x=219 y=192 size=30
[shapes_sub] 72: color=ORANGE x=216 y=194 size=30
[shapes_sub] 73: color=ORANGE x=213 y=196 size=30
[shapes_sub] 74: color=ORANGE x=210 y=198 size=30
[shapes_sub] 75: color=ORANGE x=207 y=200 size=30
[shapes_sub] 76: color=ORANGE x=204 y=202 size=30
[shapes_sub] 77: color=ORANGE x=201 y=204 size=30
[shapes_sub] 78: color=ORANGE x=198 y=206 size=30
[shapes_sub] 79: color=ORANGE x=195 y=208 size=30
[shapes_sub] 80: color=ORANGE x=192 y=210 size=30
[shapes_sub] 81: color=ORANGE x=189 y=212 size=30
[shapes_sub] 82: color=ORANGE x=186 y=214 size=30
[shapes_sub] 83: color=ORANGE x=183 y=216 size=30
[shapes_sub] 84: color=ORANGE x=180 y=218 size=30
[shapes_sub] 85: color=ORANGE x=177 y=220 size=30
[shapes_sub] 86: color=ORANGE x=174 y=222 size=30
[shapes_sub] 87: color=ORANGE x=171 y=224 size=30
[shapes_sub] 88: color=ORANGE x=168 y=226 size=30
[shapes_sub] 89: color=ORANGE x=165 y=228 size=30
[shapes_sub] 90: color=ORANGE x=162 y=230 size=30
[shapes_sub] 91: color=ORANGE x=159 y=232 size=30
[shapes_sub] 92: color=ORANGE x=156 y=234 size=30
[shapes_sub] 93: color=ORANGE x=153 y=236 size=30
[shapes_sub] 94: color=ORANGE x=150 y=238 size=30
[shapes_sub] 95: color=ORANGE x=147 y=240 size=30
[shapes_sub] 96: color=ORANGE x=144 y=238 size=30
[shapes_sub] 97: color=ORANGE x=141 y=236 size=30
[shapes_sub] 98: color=ORANGE x=138 y=234 size=30
