[sub] Square/ShapeType[tagged] domain=7 (multicast 239.255.0.1). Ctrl-C to stop.
[sub] Square BLUE x=203 y=152 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=51
[sub] Square BLUE x=206 y=154 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=52
[sub] Square BLUE x=209 y=156 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=53
[sub] Square BLUE x=212 y=158 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=54
[sub] Square BLUE x=215 y=160 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=55
[sub] Square BLUE x=218 y=162 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=56
[sub] Square BLUE x=221 y=164 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=57
[sub] Square BLUE x=224 y=166 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=58
[sub] Square BLUE x=227 y=168 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=59
[sub] Square BLUE x=230 y=170 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=60
[sub] Square BLUE x=233 y=172 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=61
[sub] Square BLUE x=236 y=174 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=62
[sub] Square BLUE x=239 y=176 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=63
[sub] Square BLUE x=240 y=178 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=64
[sub] Square BLUE x=237 y=180 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=65
[sub] Square BLUE x=234 y=182 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=66
[sub] Square BLUE x=231 y=184 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=67
[sub] Square BLUE x=228 y=186 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=68
[sub] Square BLUE x=225 y=188 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=69
[sub] Square BLUE x=222 y=190 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=70
[sub] Square BLUE x=219 y=192 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=71
[sub] Square BLUE x=216 y=194 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=72
[sub] Square BLUE x=213 y=196 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=73
[sub] Square BLUE x=210 y=198 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=74
[sub] Square BLUE x=207 y=200 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=75
[sub] Square BLUE x=204 y=202 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=76
[sub] Square BLUE x=201 y=204 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=77
[sub] Square BLUE x=198 y=206 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=78
[sub] Square BLUE x=195 y=208 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=79
[sub] Square BLUE x=192 y=210 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=80
[sub] Square BLUE x=189 y=212 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=81
[sub] Square BLUE x=186 y=214 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=82
[sub] Square BLUE x=183 y=216 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=83
[sub] Square BLUE x=180 y=218 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=84
[sub] Square BLUE x=177 y=220 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=85
[sub] Square BLUE x=174 y=222 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=86
[sub] Square BLUE x=171 y=224 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=87
[sub] Square BLUE x=168 y=226 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=88
[sub] Square BLUE x=165 y=228 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=89
[sub] Square BLUE x=162 y=230 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=90
[sub] Square BLUE x=159 y=232 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=91
[sub] Square BLUE x=156 y=234 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=92
[sub] Square BLUE x=153 y=236 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=93
[sub] Square BLUE x=150 y=238 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=94
[sub] Square BLUE x=147 y=240 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=95
[sub] Square BLUE x=144 y=238 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=96
[sub] Square BLUE x=141 y=236 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=97
[sub] Square BLUE x=138 y=234 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=98
[sub] Square BLUE x=135 y=232 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=99
[sub] Square BLUE x=132 y=230 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=100
[sub] Square BLUE x=129 y=228 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=101
[sub] Square BLUE x=126 y=226 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=102
[sub] Square BLUE x=123 y=224 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=103
[sub] Square BLUE x=120 y=222 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=104
[sub] Square BLUE x=117 y=220 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=105
[sub] Square BLUE x=114 y=218 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=106
[sub] Square BLUE x=111 y=216 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=107
[sub] Square BLUE x=108 y=214 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=108
[sub] Square BLUE x=105 y=212 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=109
[sub] Square BLUE x=102 y=210 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=110
[sub] Square BLUE x=99 y=208 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=111
[sub] GAP from 67c411b2-c6b2-40cf-8e04-8464bb79843f: expected seq 112, got 114
[sub] Square BLUE x=90 y=202 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=114
[sub] Square BLUE x=87 y=200 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=115
[sub] Square BLUE x=84 y=198 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=116
[sub] Square BLUE x=81 y=196 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=117
[sub] Square BLUE x=78 y=194 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=118
[sub] Square BLUE x=75 y=192 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=119
[sub] Square BLUE x=72 y=190 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=120
[sub] Square BLUE x=69 y=188 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=121
[sub] Square BLUE x=66 y=186 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=122
[sub] Square BLUE x=63 y=184 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=123
[sub] Square BLUE x=60 y=182 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=124
[sub] Square BLUE x=57 y=180 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=125
[sub] Square BLUE x=54 y=178 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=126
[sub] Square BLUE x=51 y=176 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=127
[sub] Square BLUE x=48 y=174 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=128
[sub] Square BLUE x=45 y=172 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=129
[sub] Square BLUE x=42 y=170 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=130
[sub] Square BLUE x=39 y=168 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=131
[sub] Square BLUE x=36 y=166 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=132
[sub] Square BLUE x=33 y=164 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=133
[sub] Square BLUE x=30 y=162 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=134
[sub] Square BLUE x=27 y=160 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=135
[sub] Square BLUE x=24 y=158 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=136
[sub] Square BLUE x=21 y=156 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=137
[sub] Square BLUE x=18 y=154 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=138
[sub] Square BLUE x=15 y=152 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=139
[sub] Square BLUE x=12 y=150 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=140
[sub] Square BLUE x=9 y=148 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=141
[sub] Square BLUE x=6 y=146 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=142
[sub] Square BLUE x=3 y=144 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=143
[sub] Square BLUE x=0 y=142 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=144
[sub] Square BLUE x=3 y=140 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=145
[sub] Square BLUE x=6 y=138 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=146
[sub] Square BLUE x=9 y=136 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=147
[sub] Square BLUE x=12 y=134 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=148
[sub] Square BLUE x=15 y=132 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=149
[sub] Square BLUE x=18 y=130 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=150
[sub] Square BLUE x=21 y=128 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=151
[sub] Square BLUE x=24 y=126 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=152
[sub] Square BLUE x=27 y=124 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=153
[sub] Square BLUE x=30 y=122 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=154
[sub] Square BLUE x=33 y=120 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=155
[sub] Square BLUE x=36 y=118 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=156
[sub] Square BLUE x=39 y=116 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=157
[sub] Square BLUE x=42 y=114 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=158
[sub] Square BLUE x=45 y=112 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=159
[sub] Square BLUE x=48 y=110 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=160
[sub] Square BLUE x=51 y=108 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=161
[sub] Square BLUE x=54 y=106 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=162
[sub] Square BLUE x=57 y=104 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=163
[sub] Square BLUE x=60 y=102 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=164
[sub] Square BLUE x=63 y=100 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=165
[sub] Square BLUE x=66 y=98 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=166
[sub] Square BLUE x=69 y=96 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=167
[sub] Square BLUE x=72 y=94 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=168
[sub] Square BLUE x=75 y=92 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=169
[sub] Square BLUE x=78 y=90 size=30 uuid=67c411b2-c6b2-40cf-8e04-8464bb79843f seq=170
