[sub] Square/ShapeType[tagged] domain=7 (multicast 239.255.0.1). Ctrl-C to stop.
[sub] Square GREEN x=230 y=170 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=60
[sub] Square GREEN x=233 y=172 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=61
[sub] Square GREEN x=236 y=174 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=62
[sub] Square GREEN x=239 y=176 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=63
[sub] Square GREEN x=240 y=178 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=64
[sub] Square GREEN x=237 y=180 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=65
[sub] Square GREEN x=234 y=182 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=66
[sub] Square GREEN x=231 y=184 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=67
[sub] Square GREEN x=228 y=186 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=68
[sub] Square GREEN x=225 y=188 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=69
[sub] Square GREEN x=222 y=190 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=70
[sub] Square GREEN x=219 y=192 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=71
[sub] Square GREEN x=216 y=194 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=72
[sub] Square GREEN x=213 y=196 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=73
[sub] Square GREEN x=210 y=198 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=74
[sub] Square GREEN x=207 y=200 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=75
[sub] Square GREEN x=204 y=202 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=76
[sub] Square GREEN x=201 y=204 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=77
[sub] Square GREEN x=198 y=206 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=78
[sub] Square GREEN x=195 y=208 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=79
[sub] Square GREEN x=192 y=210 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=80
[sub] Square GREEN x=189 y=212 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=81
[sub] Square GREEN x=186 y=214 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=82
[sub] Square GREEN x=183 y=216 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=83
[sub] Square GREEN x=180 y=218 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=84
[sub] Square GREEN x=177 y=220 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=85
[sub] Square GREEN x=174 y=222 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=86
[sub] Square GREEN x=171 y=224 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=87
[sub] Square GREEN x=168 y=226 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=88
[sub] Square GREEN x=165 y=228 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=89
[sub] Square GREEN x=162 y=230 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=90
[sub] Square GREEN x=159 y=232 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=91
[sub] Square GREEN x=156 y=234 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=92
[sub] Square GREEN x=153 y=236 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=93
[sub] Square GREEN x=150 y=238 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=94
[sub] Square GREEN x=147 y=240 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=95
[sub] Square GREEN x=144 y=238 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=96
[sub] Square GREEN x=141 y=236 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=97
[sub] Square GREEN x=138 y=234 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=98
[sub] Square GREEN x=135 y=232 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=99
[sub] Square GREEN x=132 y=230 size=30 uuid=585df1a8-fae0-41a1-835b-6a78db485a06 seq=100
